entryDate,closeDate,shortStrike,longStrike,credit,closeReason,netPnl
2016-03-02,2016-03-11,191,186,0.7514,profit_target,47.74499810227168
2016-03-11,2016-03-17,195,190,0.7793,profit_target,41.762315717979654
2016-03-14,2016-03-17,194,189,0.7210,profit_target,39.64327464232903
2016-03-17,2016-03-29,198,193,0.7621,profit_target,39.63573139944474
2016-03-18,2016-03-30,199,194,0.7481,profit_target,38.644528056887154
2016-03-29,2016-04-13,199,194,0.6681,profit_target,47.84546968390086
2016-03-30,2016-04-13,200,195,0.6575,profit_target,38.14168074238247
2016-04-13,2016-04-20,202,197,0.7094,profit_target,34.600651379323345
2016-04-14,2016-04-27,202,197,0.7033,profit_target,34.36647076570908
2016-04-20,2016-05-24,204,199,0.6791,profit_target,66.09649265559949
2016-04-27,2016-05-24,203,198,0.6806,profit_target,38.28907738535085
2016-05-24,2016-05-27,201,196,0.7094,profit_target,36.04549078664105
2016-05-25,2016-06-06,203,198,0.7521,profit_target,41.54766928141246
2016-05-27,2016-06-23,204,199,0.6990,profit_target,51.51686156071957
2016-06-06,2016-07-01,205,200,0.7550,profit_target,42.14943858448423
2016-06-23,2016-07-08,203,198,0.7544,profit_target,61.923044766704024
2016-07-01,2016-07-08,203,198,0.6772,profit_target,44.07814543245913
2016-07-08,2016-07-14,207,202,0.7109,profit_target,43.20744265228024
2016-07-11,2016-07-14,207,202,0.6533,profit_target,33.624779286373524
2016-07-14,2016-07-29,210,205,0.6477,profit_target,40.97406603912324
2016-07-15,2016-07-29,210,205,0.6572,profit_target,40.21844819919216
2016-07-29,2016-08-11,212,207,0.6925,profit_target,35.73129244289512
2016-08-01,2016-08-11,211,206,0.6626,profit_target,35.61190878165095
2016-08-11,2016-09-02,213,208,0.6498,profit_target,32.78875357801639
2016-08-12,2016-09-06,213,208,0.6596,profit_target,48.80494582165998
2016-09-02,2016-09-22,212,207,0.6257,profit_target,32.88348602507483
2016-09-06,2016-10-06,213,208,0.6743,profit_target,39.54648540610009
2016-09-22,2016-10-24,212,207,0.6639,profit_target,53.00283233166733
2016-11-09,2016-11-17,209,204,0.6685,profit_target,39.68490487438112
2016-11-10,2016-11-17,210,205,0.7671,profit_target,40.333956626780534
2016-11-17,2016-11-23,212,207,0.6627,profit_target,32.52336933468801
2016-11-18,2016-11-23,212,207,0.6815,profit_target,33.01144889976808
2016-11-23,2016-12-07,215,210,0.7509,profit_target,57.54896549543235
2016-11-25,2016-12-07,215,210,0.6328,profit_target,42.9679170010858
2016-12-07,2016-12-13,218,213,0.6557,profit_target,32.699352505403574
2016-12-08,2016-12-19,218,213,0.6403,profit_target,38.82605496520577
2016-12-13,2017-01-04,221,216,0.7136,profit_target,48.26632207374718
2016-12-19,2017-01-04,221,216,0.7354,profit_target,35.88895366088091
